"id","character","classification","actor","billing"
"/title/tt0063462/","Carmen Ghia","Gay","Andreas Voutsinas",NA
"/title/tt0063462/","Roger De Bris","Gay","Christopher Hewett",NA
"/title/tt0083745/","Joanne","Trans woman","Karen Black",3
"/title/tt0086320/","Angela Baker","Trans woman","Felissa Rose",1
"/title/tt0102395/","Hollywood Montrose","Gay","Meshach Taylor",3
"/title/tt0118111/","Corky St. Clair","Gay","Christopher Guest",6
"/title/tt0130444/","Felice Schragenheim","Lesbian","Maria Schrader",1
"/title/tt0212889/","Dorothy Nelson","Lesbian","Brittany Murphy",2
"/title/tt0250425/","Holiday Heart","Gay","Ving Rhames",1
"/title/tt0241527/","Albus Dumbledore","Gay","Richard Harris",1
"/title/tt0166924/","Rita","Bisexual","Laura Elena Harring",4
"/title/tt0166924/","Betty Elms","Lesbian","Naomi Watts",1
"/title/tt0257850/","Matthew Shepard","Gay","",1
"/title/tt0401248/","Parinya Charoenphol","Trans woman","Asanee Suwan",1
"/title/tt1104733/","Rand Posin [4]","Gay","Skylar Astin",4
"/title/tt0324013/","Calpernia Addams","Trans woman","Lee Pace",2
"/title/tt0350146/","Patricia Porker","Bisexual","Erin Brown",1
"/title/tt0448075/","Gabriel Noone","Gay","Robin Williams",1
"/title/tt0823158/","Shel","Gay","John Stamos",1
"/title/tt1073510/","Bobby Griffith","Gay","Ryan Kelley",3
"/title/tt0206420/","Monica Jones","Trans woman","Harold Perrineau Jr.",3
"/title/tt2278871/","Adèle","Bisexual","Adèle Exarchopoulos",NA
"/title/tt2278871/","Emma","Lesbian","L_a Seydoux",1
"/title/tt2278871/","Lise","Lesbian","Mona Walravens",7
"/title/tt1684226/","Alexander ""Ned"" Weeks","Gay","Mark Ruffalo",1
"/title/tt1684226/","Felix Turner","Gay","Matt Bomer",15
"/title/tt1684226/","Dr. Emma Brookner","Lesbian","Julia Roberts",11
"/title/tt0074123/","Gilbert (""L'Epervier"")","Gay","Bruno Cremer",2
"/title/tt0115856/","Michel","Gay","Olivier Py",4
"/title/tt0116126/","Loc Dog","Bisexual","Marlon Wayans",2
"/title/tt0296042/","Kakihara","Bisexual","Tadanobu Asano",1
"/title/tt0338290/","Roy / Ruth Applewood","Trans woman","Tom Wilkinson",5
"/title/tt0257516/","Bo","Gay","Milo Ventimiglia",8
"/title/tt0332375/","Dean","Gay","Chad Faust",7
"/title/tt0332375/","Mitch","Gay","Kett Turton",11
"/title/tt1603789/","Kafka","Bisexual","Byron Pang",1
"/title/tt1603789/","Daniel","Gay","Thomas Price",2
"/title/tt1906518/","Pie","Bisexual","Sushar Manaying",1
"/title/tt1906518/","Kim","Lesbian","Supanart Jittaleela",2
"/title/tt1189073/","Cristina","Lesbian","Bàrbara Lennie",10
