"Gender","Age","Rating","Count","id"
"All","<18",8.2,35,"/title/tt0063462/"
"All","18-29",7.7,7595,"/title/tt0063462/"
"All","30-44",7.5,16704,"/title/tt0063462/"
"All","45+",7.8,9695,"/title/tt0063462/"
"All","All Ages",7.7,43860,"/title/tt0063462/"
"Females","<18",8.2,4,"/title/tt0063462/"
"Females","18-29",7.6,1333,"/title/tt0063462/"
"Females","30-44",7.5,2186,"/title/tt0063462/"
"Females","45+",7.9,1377,"/title/tt0063462/"
"Females","All Ages",7.7,5018,"/title/tt0063462/"
"Males","<18",8.2,31,"/title/tt0063462/"
"Males","18-29",7.8,6188,"/title/tt0063462/"
"Males","30-44",7.5,14338,"/title/tt0063462/"
"Males","45+",7.8,8179,"/title/tt0063462/"
"Males","All Ages",7.7,29464,"/title/tt0063462/"
"All","<18",7,1,"/title/tt0083745/"
"All","18-29",7.7,224,"/title/tt0083745/"
"All","30-44",7.1,725,"/title/tt0083745/"
"All","45+",7.7,1771,"/title/tt0083745/"
"All","All Ages",7.5,3451,"/title/tt0083745/"
"Females","<18",7,1,"/title/tt0083745/"
"Females","18-29",7.8,57,"/title/tt0083745/"
"Females","30-44",7.1,140,"/title/tt0083745/"
"Females","45+",8.5,422,"/title/tt0083745/"
"Females","All Ages",8.1,636,"/title/tt0083745/"
"Males","<18",NA,NA,"/title/tt0083745/"
"Males","18-29",7.7,165,"/title/tt0083745/"
"Males","30-44",7.2,574,"/title/tt0083745/"
"Males","45+",7.5,1327,"/title/tt0083745/"
"Males","All Ages",7.4,2112,"/title/tt0083745/"
"All","<18",7.2,18,"/title/tt0086320/"
"All","18-29",6.5,4215,"/title/tt0086320/"
"All","30-44",6.3,9379,"/title/tt0086320/"
"All","45+",5.8,2100,"/title/tt0086320/"
"All","All Ages",6.3,19304,"/title/tt0086320/"
"Females","<18",8,1,"/title/tt0086320/"
"Females","18-29",6.6,845,"/title/tt0086320/"
"Females","30-44",6.5,1397,"/title/tt0086320/"
"Females","45+",6.4,267,"/title/tt0086320/"
"Females","All Ages",6.6,2592,"/title/tt0086320/"
"Males","<18",7,15,"/title/tt0086320/"
"Males","18-29",6.5,3339,"/title/tt0086320/"
"Males","30-44",6.2,7908,"/title/tt0086320/"
"Males","45+",5.7,1794,"/title/tt0086320/"
"Males","All Ages",6.2,13355,"/title/tt0086320/"
"All","<18",NA,NA,"/title/tt0102395/"
"All","18-29",5.5,291,"/title/tt0102395/"
"All","30-44",4.1,2745,"/title/tt0102395/"
"All","45+",3.4,836,"/title/tt0102395/"
"All","All Ages",4.1,4995,"/title/tt0102395/"
"Females","<18",NA,NA,"/title/tt0102395/"
"Females","18-29",5.6,129,"/title/tt0102395/"
"Females","30-44",5.2,689,"/title/tt0102395/"
"Females","45+",3.5,146,"/title/tt0102395/"
"Females","All Ages",5,993,"/title/tt0102395/"
"Males","<18",NA,NA,"/title/tt0102395/"
"Males","18-29",5.5,156,"/title/tt0102395/"
"Males","30-44",3.9,2024,"/title/tt0102395/"
"Males","45+",3.4,684,"/title/tt0102395/"
"Males","All Ages",3.9,2933,"/title/tt0102395/"
"All","<18",9,5,"/title/tt0118111/"
"All","18-29",7.6,2096,"/title/tt0118111/"
"All","30-44",7.6,10549,"/title/tt0118111/"
"All","45+",7.4,5244,"/title/tt0118111/"
"All","All Ages",7.6,23966,"/title/tt0118111/"
"Females","<18",8,1,"/title/tt0118111/"
"Females","18-29",7.7,417,"/title/tt0118111/"
"Females","30-44",7.8,1831,"/title/tt0118111/"
"Females","45+",7.7,973,"/title/tt0118111/"
"Females","All Ages",7.8,3302,"/title/tt0118111/"
"Males","<18",9,4,"/title/tt0118111/"
"Males","18-29",7.6,1660,"/title/tt0118111/"
"Males","30-44",7.5,8596,"/title/tt0118111/"
"Males","45+",7.4,4193,"/title/tt0118111/"
"Males","All Ages",7.5,14787,"/title/tt0118111/"
"All","<18",7,2,"/title/tt0130444/"
"All","18-29",7.5,708,"/title/tt0130444/"
"All","30-44",7.3,2237,"/title/tt0130444/"
"All","45+",7.2,1331,"/title/tt0130444/"
"All","All Ages",7.3,5561,"/title/tt0130444/"
"Females","<18",NA,NA,"/title/tt0130444/"
"Females","18-29",7.6,523,"/title/tt0130444/"
