"id","title","input","release_date","mpaa_rating","imdb_rating","num_votes","genre_drama","genre_comedy","genre_action","genre_romance","genre_adventure","genre_thriller"
"/title/tt0063462/","The Producers","lgbt","1968-11-10","PG","7.7",43860,0,1,0,0,0,0
"/title/tt0063462/","The Producers","lgbt","1968-11-10","PG","7.7",43860,0,1,0,0,0,0
"/title/tt0083745/","Come Back to the 5 & Dime, Jimmy Dean, Jimmy Dean","lgbt","1983-05-04","PG","7.5",3451,1,1,0,0,0,0
"/title/tt0086320/","Sleepaway Camp","lgbt","1983-11-18","R","6.3",19304,0,0,0,0,0,1
"/title/tt0102395/","Mannequin: On the Move","lgbt","1991-05-17","PG","4.1",4995,0,1,0,0,1,0
"/title/tt0118111/","Waiting for Guffman","lgbt","1997-01-31","R","7.6",23966,0,1,0,0,0,0
"/title/tt0130444/","Aimee & Jaguar","lgbt","1999-02-11","NOT RATED","7.3",5561,1,0,0,1,0,0
"/title/tt0212889/","Common Ground","lgbt","2000-01-29","R","7.4",913,1,0,0,0,0,0
"/title/tt0250425/","Holiday Heart","lgbt","2000-12-10","R","7.7",967,1,0,0,0,0,0
"/title/tt0241527/","Harry Potter and the Sorcerer's Stone","lgbt","2001-11-16","PG","7.6",520235,0,0,0,0,1,0
"/title/tt0166924/","Mulholland Dr.","lgbt","2001-10-19","R","8.0",272303,1,0,0,0,0,1
"/title/tt0257850/","The Laramie Project","lgbt","2002-03-09","TV-14","7.3",5755,1,0,0,0,0,1
"/title/tt0401248/","Beautiful Boxer","lgbt","2004-04-29","UNRATED","7.1",2931,1,0,1,0,0,0
"/title/tt1104733/","Hamlet 2","lgbt","2008-08-27","R","6.4",15850,0,1,0,0,0,0
"/title/tt0324013/","Soldier's Girl","lgbt","2003-05-31","R","7.9",5735,1,0,0,0,0,1
"/title/tt0350146/","SpiderBabe","lgbt","2005-05-27","R","4.3",761,0,1,0,0,1,0
"/title/tt0448075/","The Night Listener","lgbt","2006-08-04","R","5.9",13604,0,0,0,0,0,1
"/title/tt0823158/","Wedding Wars","lgbt","2006-12-11",NA,"6.1",1728,1,1,0,1,0,0
"/title/tt1073510/","Prayers for Bobby","lgbt","2009-01-24","TV-14","8.1",13437,1,0,0,1,0,0
"/title/tt0206420/","Woman on Top","lgbt","2000-09-22","R","5.3",9169,0,1,0,1,1,0
"/title/tt2278871/","Blue Is the Warmest Color","lgbt","2013-10-09","NC-17","7.8",112944,1,0,0,1,0,0
"/title/tt1684226/","The Normal Heart","lgbt","2014-05-25","TV-MA","7.9",29331,1,0,0,1,0,0
"/title/tt0074123/","Hunter Will Get You","lgbt","1980-06",NA,"6.6",1460,0,0,1,0,0,1
"/title/tt0115856/","When the Cat's Away","lgbt","1997-06-20","R","6.9",2990,0,1,0,1,0,0
"/title/tt0116126/","Don't Be a Menace to South Central While Drinking Your Juice in the Hood","lgbt","1996-01-12","R","6.6",42004,0,1,0,0,0,1
