year,title,character,classification,actor
2015,3 Generations,Ray,Trans man,Elle Fanning
2015,4th Man Out,Adam,Gay,Evan Todd
2017,A Fantastic Woman,Marina Vidal,Trans woman,Daniela Vega
2004,A Home at the End of the World,Jonathan Glover,Gay,Harris Allan/Dallas Roberts
2003,A Mighty Wind,Mark Shubb,Trans woman,Harry Shearer
2009,A Single Man,George Falconer,Gay,Colin Firth
2007,Across the Universe,Prudence,Lesbian,T.V. Carpio
1998,Aimee & Jaguar,Felice Schragenheim,Lesbian,Maria Schrader
1999,All About My Mother,Nina Cruz,Bisexual,Candela Pe_a
1999,All About My Mother,Huma Rojo,Lesbian,Marisa Paredes
1999,All About My Mother,Agrado,Trans woman,Antonia San Juan
1999,All About My Mother,Lola,Trans woman,Toni CantÑ
1997,All Over Me,Claude,Lesbian,Alison Folland
1997,All Over Me,Lucy,Lesbian,Leisha Hailey
1997,All Over Me,Luke,Lesbian,Pat Briggs
1999,American Beauty,Frank Fitts,Gay,Chris Cooper
1999,American Beauty,Jim Berkley,Gay,Sam Robards
1999,American Beauty,Jim Olmeyer,Gay,Scott Bakula
2000,American Psycho,Luis Carruthers,Gay,Matt Ross
2010,Amphetamine,Kafka,Bisexual,Byron Pang
2010,Amphetamine,Daniel,Gay,Thomas Price
2006,Another Gay Movie,Jarod,Gay,Jonathan Chase
2003,Arisan!,Nino,Gay,Surya Saputra
2003,Arisan!,Sakti,Gay,Tora Sudiro
1997,As Good as It Gets,Simon Bishop,Gay,Greg Kinnear
2017,Atomic Blonde,Lorraine Broughton,Bisexual,Charlize Theron
2017,Atomic Blonde,Delphine Lasalle,Lesbian,Sofia Boutella
2002,Austin Powers in Goldmember,Frau Farbissina,Lesbian,Mindy Sterling
1997,Austin Powers: International Man of Mystery,Frau Farbissina,Lesbian,Mindy Sterling
1999,Austin Powers: The Spy Who Shagged Me,Frau Farbissina,Lesbian,Mindy Sterling
2004,Bad Education,Enrique Goded,Gay,Fele MartÕnez
2004,Bad Education,Father Manolo,Gay,Daniel Gim_nez Cacho
2004,Bad Education,Ignacio Rodriguez,Gay,Francisco Boira
2004,Bad Education,Zahara,Trans woman,Gael GarcÕa Bernal
1992,Basic Instinct,Catherine Tramell,Bisexual,Sharon Stone
1992,Basic Instinct,Dr. Beth Garner,Bisexual,Jeanne Tripplehorn
1992,Basic Instinct,Roxy,Lesbian,Leilani Sarelle
2017,Battle of the Sexes,Billie Jean King,Lesbian,Emma Stone
2017,Battle of the Sexes,Marilyn Bennett,Lesbian,Andrea Riseborough
2005,Be Cool,Elliot Wilhelm,Gay,Dwayne Johnson
2003,Beautiful Boxer,Parinya Charoenphol,Trans woman,Asanee Suwan
1996,Beautiful Thing,Ste Pearce,Gay,Scott Neal
2017,Beauty and the Beast,LeFou,Gay,Josh Gad
1998,Bedrooms and Hallways,Leo,Bisexual,Kevin McKidd
2000,Before Night Falls,Pepe Malas,Gay,Andrea Di Stefano
2000,Before Night Falls,Reinaldo Arenas,Gay,Javier Bardem
2000,Before Night Falls,Tomas Diego,Gay,Santiago Magill
2000,Before Night Falls,Bon Bon,Trans woman,Johnny Depp
2010,Beginners,Hal,Gay,Christopher Plummer
2002,Bend It Like Beckham,Tony,Gay,Ameet Chana
2000,Best in Show,Scott Donlan,Gay,John Michael Higgins
2000,Best in Show,Stefan Vanderhoof,Gay,Michael McKean
2000,Best in Show,Christy Cummings,Lesbian,Jane Lynch
2000,Best in Show,Sherri Ann Ward Cabot,Lesbian,Jennifer Coolidge
1999,Better Than Chocolate,Judy,Trans woman,Peter Outerbridge
1970,Beyond the Valley of the Dolls,"Ronnie ""Z-Man"" Barzell",Trans man,John LaZar
1999,Big Daddy,Phil D'Amato,Gay,Allen Covert
1999,Big Daddy,Tommy Grayton,Gay,Peter Dante
2000,Billy Elliot,Michael Caffrey,Gay,Stuart Wells
1995,Billy Madison,Principal Max Anderson,Gay,Josh Mostel
1999,Blast from the Past,Troy,Gay,Dave Foley
2001,Blow,Derek Foreal,Gay,Paul Reubens
2013,Blue Is the Warmest Colour,Adèle,Bisexual,Adèle Exarchopoulos
2013,Blue Is the Warmest Colour,Emma,Lesbian,L_a Seydoux
2013,Blue Is the Warmest Colour,Lise,Lesbian,Mona Walravens
1986,Blue Velvet,Frank Booth,Pansexual,Dennis Hopper
1997,Boogie Nights,Scotty J.,Gay,Philip Seymour Hoffman
2006,Boy Culture,"Alex ""X""",Gay,Derek Magyar
2006,Boy Culture,Andrew,Gay,Darryl Stephens
2006,Boy Culture,Gregory Talbot,Gay,Patrick Bauchau
2006,Boy Culture,Joey,Gay,Jonathon Trent
2014,Boys,Marc,Gay,Ko Zandvliet
2014,Boys,Sieger,Gay,Gijs Blom
1999,Boys Don't Cry,Brandon Teena,Trans man,Hilary Swank
2005,Breakfast on Pluto,"Patrick ""Kitten"" Braden",Trans woman,Cillian Murphy
2007,Breakfast with Scot,Eric McNally,Gay,Tom Cavanagh
2007,Breakfast with Scot,Sam,Gay,Ben Shenkman
2007,Breakfast with Scot,Scot,Gay,Noah Bernett
1998,Bride of Chucky,David Collins,Gay,Gordon Michael Woolvett
2004,Bridget Jones: The Edge of Reason,Rebecca Gilles,Lesbian,Jacinda Barrett
2000,Bring It On,"Leslie ""Les""",Gay,Huntley Ritter
2005,Brokeback Mountain,Ennis Del Mar,Gay/Bisexual,Heath Ledger
2005,Brokeback Mountain,Jack Twist,Gay/Bisexual,Jake Gyllenhaal
1999,But I'm a Cheerleader,Andre,Gay,Douglas Spain
1999,But I'm a Cheerleader,Clayton Dunn,Gay,Kip Pardue
1999,But I'm a Cheerleader,Dolph,Gay,Dante Basco
1999,But I'm a Cheerleader,Joel Goldberg,Gay,Joel Michaely
1999,But I'm a Cheerleader,Larry Morgan-Gordon,Gay,Richard Moll
1999,But I'm a Cheerleader,Lloyd Morgan-Gordon,Gay,Wesley Mann
1999,But I'm a Cheerleader,Mike,Gay,RuPaul
1999,But I'm a Cheerleader,Rock Brown,Gay,Eddie Cibrian
1999,But I'm a Cheerleader,Graham Eaton,Lesbian,Clea DuVall
1999,But I'm a Cheerleader,Hilary Vandermuller,Lesbian,Melanie Lynskey
1999,But I'm a Cheerleader,Kelly,Lesbian,Ione Skye (uncredited)
1999,But I'm a Cheerleader,Megan Bloomfield,Lesbian,Natasha Lyonne
1999,But I'm a Cheerleader,Sinead Laren,Lesbian,Katharine Towne
2005,C.R.A.Z.Y.,Zachary Beaulieu,Bisexual,Marc-Andr_ Grondin
1972,Cabaret,Baron Maximilian Von Heune,Bisexual,Helmut Griem
1972,Cabaret,Brian Roberts,Bisexual,Michael York
2017,Call Me by Your Name,Elio Perlman,Bisexual,Timoth_e Chalamet
2017,Call Me by Your Name,Oliver,Bisexual,Armie Hammer
1996,Camping Cosmos,Arno Hintjens,Gay,Arno Hintjens
1996,Camping Cosmos,Harry,Gay,
2005,Capote,Truman Capote,Gay,Philip Seymour Hoffman
2015,Carol,Carol Aird,Lesbian/Bisexual,Cate Blanchett
2015,Carol,Therese Belivet,Lesbian/Bisexual,Rooney Mara
1995,Carrington,Lytton Strachey,Gay,Jonathan Pryce
2016,Center of My World,Nicholas,Bisexual,Jannik SchÙmann
2016,Center of My World,Phil,Gay,Louis Hofmann
2016,Center of My World,Pascal,Lesbian,Nina Proll
2016,Center of My World,Tereza,Lesbian,Inka Friedrich
1996,Chacun Cherche son Chat,Michel,Gay,Olivier Py
1997,Chasing Amy,Alyssa Jones,Bisexual,Joey Lauren Adams
1997,Chasing Amy,Banky Edwards,Gay,Jason Lee
1997,Chasing Amy,Hooper X,Gay,Dwight Ewell
2009,Chloe,Chloe Sweeney,Bisexual,Amanda Seyfried
2000,Chuck & Buck,Buck O'Brien,Gay,Mike White
1996,Citizen Ruth,Diane Siegler,Lesbian,Swoosie Kurtz
2012,Cloud Atlas,Robert Frobisher,Bisexual,Ben Whishaw
2012,Cloud Atlas,Rufus Sixsmith,Gay,James D'Arcy
1982,"Come Back to the Five and Dime, Jimmy Dean, Jimmy Dean",Joanne,Trans woman,Karen Black
2000,Common Ground,Dorothy Nelson,Lesbian,Brittany Murphy
2006,Crank,Kaylo,Gay,Efren Ramirez
2013,Curse of Chucky,Jill,Lesbian,Maitland McConnell
2005,Cursed,Bo,Gay,Milo Ventimiglia
2004,D.E.B.S,Lucy Diamond,Lesbian,Jordana Brewster
2013,Dallas Buyers Club,Rayon,Trans woman,Jared Leto
1971,Daughters of Darkness,Countess Bathory,Lesbian,Delphine Seyrig
2016,Deadpool,Deadpool (Wade Wilson),Pansexual,Ryan Reynolds
2014,Dear White People,Lionel Higgins,Gay,Tyler James Williams
2004,Dodgeball: A True Underdog Story,Kate Veatch,Bisexual,Christine Taylor
1975,Dog Day Afternoon,Sonny Wortzik,Bisexual,Al Pacino
1975,Dog Day Afternoon,Leon Shermer,Trans woman,Chris Sarandon
1996,Don't Be a Menace...,Loc Dog,Bisexual,Marlon Wayans
2008,Dottie's Magic Pockets,Dottie,Lesbian,Jen Plante
2008,Dream Boy,Nathan Davies,Gay,Stephan Bender
2008,Dream Boy,Roy,Gay,Maximillian Roeg
1999,East is East,Nazir Khan,Gay,Ian Aspinall
2010,Easy A,Brandon,Gay,Dan Byrd
1998,Edge of Seventeen,Eric Hunter,Gay,Chris Stafford
1999,Election,Tammy Metzler,Lesbian,Jessica Campbell
2003,Elephant,Alex,Gay,Alex Frost
2003,Elephant,Eric,Gay,Eric Deulen
2015,En underbar j_vla jul,Oscar,Gay,Anton Lundqvist
2015,En underbar j_vla jul,Simon,Gay,Anastasios Soulis
2017,F the Prom,TJ,Gay,Luke Bilyk
2016,Fair Haven,Charlie Green,Gay,Josh Green
2016,Fair Haven,James Grant,Gay,Michael Grant
2002,Far From Heaven,Frank Whitaker,Gay,Dennis Quaid
1999,Flawless,Rusty Zimmerman,Trans woman,Philip Seymour Hoffman
1996,Flirting with Disaster,Tony Kent,Bisexual,Josh Brolin
1996,Flirting with Disaster,Paul Harmon,Gay,Richard Jenkins
2012,Foodfight!,Vlad Chocul,Gay,Larry Miller
1994,Four Weddings and a Funeral,Gareth,Gay,Simon Callow
1994,Four Weddings and a Funeral,Matthew,Gay,John Hannah
2013,Free Fall,Marc Borgmann,Bisexual,Hanno Koffler
2013,Free Fall,Kay Engel,Gay,Max Riemelt
1991,Fried Green Tomatoes,Ruth Jamison,Bisexual,Mary-Louise Parker
1991,Fried Green Tomatoes,Idgie Threadgoode,Lesbian,Mary Stuart Masterson
2013,G.B.F.,Brent Van Camp,Gay,Paul Iacono
2013,G.B.F.,Tanner Daniels,Gay,Michael J. Willett
2006,The Night Listener,Gabriel Noone,Gay,Robin Williams
2013,Geography Club,Russell Middlebrook,Gay,Cameron Deane Stewart
