input_title,input_year,id
The Producers,1968,/title/tt0063462/
"Come Back to the Five and Dime, Jimmy Dean, Jimmy Dean",1982,/title/tt0083745/
Sleepaway Camp,1984,/title/tt0086320/
Mannequin Two: On the Move,1991,/title/tt0102395/
Waiting for Guffman,1997,/title/tt0118111/
Aimee & Jaguar,1998,/title/tt0130444/
Common Ground,2000,/title/tt0212889/
Holiday Heart,2000,/title/tt0250425/
Harry Potter and the Philosopher's Stone,2001,/title/tt0241527/
Mulholland Drive,2001,/title/tt0166924/
The Laramie Project,2002,/title/tt0257850/
Beautiful Boxer,2003,/title/tt0401248/
Hamlet 2,2003,/title/tt1104733/
Soldier's Girl,2003,/title/tt0324013/
SpiderBabe,2003,/title/tt0350146/
The Night Listener,2006,/title/tt0448075/
Wedding Wars,2006,/title/tt0823158/
Prayers for Bobby,2009,/title/tt1073510/
Woman on Top,2009,/title/tt0206420/
Blue Is the Warmest Colour,2013,/title/tt2278871/
The Normal Heart,2014,/title/tt1684226/
L'Alpagueur,1976,/title/tt0074123/
Chacun Cherche son Chat,1996,/title/tt0115856/
Don't Be a Menace...,1996,/title/tt0116126/
Ichi the Killer,2001,/title/tt0296042/
Normal,2003,/title/tt0338290/
Cursed,2005,/title/tt0257516/
Saved!,2005,/title/tt0332375/
Amphetamine,2010,/title/tt1603789/
Yes or No,2010,/title/tt1906518/
The Skin I Live In,2011,/title/tt1189073/
Jack & Diane,2012,/title/tt0850677/
Free Fall,2013,/title/tt2617828/
Boys,2014,/title/tt3318220/
The Heroes of Evil,2015,/title/tt4292596/
Heartstone,2016,/title/tt4613254/
In a Year of 13 Moons,1978,/title/tt0077729/
"Zorro, the Gay Blade",1981,/title/tt0083366/
Victor/Victoria,1982,/title/tt0084865/
Interview with the Vampire,1994,/title/tt0110148/
The Sum Of Us,1994,/title/tt0111309/
"To Wong Foo, Thanks for Everything! Julie Newmar",1995,/title/tt0114682/
In and Out,1997,/title/tt0119360/
East is East,1999,/title/tt0166175/
Far From Heaven,2002,/title/tt0297884/
D.E.B.S,2004,/title/tt0367631/
Harry Potter and the Deathly Hallows Part 1,2010,/title/tt0926084/
Harry Potter and the Deathly Hallows Part 2,2011,/title/tt1201607/
Just Go With It,2011,/title/tt1564367/
4th Man Out,2015,/title/tt3978720/
Most Likely To Die,2015,/title/tt4163224/
Star Trek Beyond,2016,/title/tt2660888/
F the Prom,2017,/title/tt5612742/
Rebecca,1940,/title/tt0032976/
The Maltese Falcon,1941,/title/tt0033870/
Lady in the Dark,1944,/title/tt0037000/
Rope,1948,/title/tt0040746/
Glen or Glenda,1953,/title/tt0045826/
Rebel Without a Cause,1955,/title/tt0048545/
The Children's Hour,1961,/title/tt0054743/
Victim,1961,/title/tt0055597/
Goldfinger,1964,/title/tt0058150/
The Mercenary,1968,/title/tt0063293/
The Sergeant,1968,/title/tt0063585/
Midnight Cowboy,1969,/title/tt0064665/
The Damned,1969,/title/tt0064118/
Beyond the Valley of the Dolls,1970,/title/tt0065466/
Myra Breckinridge,1970,/title/tt0066115/
The Vampire Lovers,1970,/title/tt0066518/
Daughters of Darkness,1971,/title/tt0067690/
The Last Picture Show,1971,/title/tt0067328/
Cabaret,1972,/title/tt0068327/
Dog Day Afternoon,1975,/title/tt0072890/
The Rocky Horror Picture Show,1975,/title/tt0073629/
Swashbuckler,1976,/title/tt0075294/
Midnight Express,1978,/title/tt0077928/
Life of Brian,1979,/title/tt0079470/
Stir Crazy,1980,/title/tt0081562/
Querelle,1982,/title/tt0084565/
The World According to Garp,1982,/title/tt0084917/
Revenge of the Nerds,1984,/title/tt0088000/
Kiss of the Spider Woman,1985,/title/tt0089424/
My Beautiful Laundrette,1985,/title/tt0091578/
Blue Velvet,1986,/title/tt0090756/
Less Than Zero,1987,/title/tt0093407/
Mannequin,1987,/title/tt0093493/
Maurice,1987,/title/tt0093512/
Miller's Crossing,1990,/title/tt0100150/
Fried Green Tomatoes,1991,/title/tt0101921/
JFK,1991,/title/tt0102138/
My Own Private Idaho,1991,/title/tt0102494/
Soapdish,1991,/title/tt0102951/
The Silence of the Lambs,1991,/title/tt0102926/
